phase,candidate,scenario,target_or_connections,repetitions,rps,rps_median_or_min,p50_ms,p99_ms,p999_ms,failed,avg_cores,cpu_ms_per_req,db_avg_cores,rss_peak_mib,met_target
rate,go,auth,50000,5,49999,49999,0.6,2.57,5.88,0,2.32,0.0465,0,26.7,5/5
rate,go,read,50000,5,49999,49999,1.25,6.45,12.22,0,3.2,0.0641,1.69,28.6,5/5
rate,go,write,10000,5,10000,10000,0.53,2.5,4.75,0,0.95,0.0955,0.48,26.7,5/5
rate,fpm,auth,50000,5,30606,28510,11442.01,23061.07,23258.43,0,3.98,0.1302,0,62.5,0/5
rate,fpm,read,50000,5,23528,21869,15733.5,31333.01,31664.33,0,3.91,0.1684,1.26,63.4,0/5
rate,fpm,write,10000,5,10000,10000,0.91,1.88,4.15,0,2.07,0.2072,0.81,63.3,5/5
rate,frankenphp,auth,50000,5,33089,32463,10214.02,20097.51,20282.35,0,2.92,0.0879,0,139.7,0/5
rate,frankenphp,read,50000,5,22859,22776,16357.77,32247.57,32545.84,0,2.67,0.1167,0.81,137.8,0/5
rate,frankenphp,write,10000,5,10000,9998,0.75,1.81,2.95,0,1.46,0.1459,0.51,136.9,5/5
ceiling,go,auth,16,3,81773,79878,0.17,0.67,,0,3.79,0.0464,0.01,18.1,
ceiling,go,auth,64,3,83526,82806,0.6,2.75,,0,3.82,0.0457,0,20,
ceiling,go,auth,128,3,83371,80246,1.2,5.45,,0,3.87,0.0465,0,22.2,
ceiling,go,auth,256,3,83479,83432,2.63,9.09,,0,3.89,0.0465,0,25.7,
ceiling,go,read,16,3,53471,52516,0.27,0.84,,0,3.74,0.07,1.85,25,
ceiling,go,read,64,3,57676,57360,1.01,2.7,,0,3.82,0.0663,1.97,20.5,
ceiling,go,read,128,3,58879,57846,2.06,3.77,,0,3.85,0.0654,2,22.9,
ceiling,go,read,256,3,59004,56360,4.17,6.11,,0,3.89,0.0659,2.02,30.2,
ceiling,go,write,16,3,32469,24524,0.47,0.95,,0,2.78,0.0855,1.47,29.5,
ceiling,go,write,64,3,42607,28249,1.38,3.59,,0,3.21,0.0754,2.02,28.9,
ceiling,go,write,128,3,43420,28216,2.8,5.26,,0,3.21,0.074,2,29.1,
ceiling,go,write,256,3,43942,27107,5.69,8.79,,0,3.22,0.0732,1.98,30.8,
ceiling,fpm,auth,16,3,30561,29777,0.45,1.84,,0,3.93,0.1287,0,59.7,
ceiling,fpm,auth,64,3,31157,24651,2.04,3.72,,0,3.98,0.1278,0.01,59.8,
ceiling,fpm,auth,128,3,31001,23865,4.14,5.61,,0,3.97,0.1281,0,60.6,
ceiling,fpm,auth,256,3,31043,23359,8.18,9.65,,0,3.98,0.1281,0,62.4,
ceiling,fpm,read,16,3,22905,13921,0.65,1.55,,0,3.86,0.1684,1.12,62.2,
ceiling,fpm,read,64,3,24437,17089,2.57,4.29,,0,3.97,0.1626,1.19,60.5,
ceiling,fpm,read,128,3,24279,16619,5.23,7.04,,0,3.96,0.1631,1.19,60.7,
ceiling,fpm,read,256,3,24002,16603,10.63,12.44,,0,3.95,0.1646,1.18,62.4,
ceiling,fpm,write,16,3,18852,10775,0.81,1.56,,0,3.67,0.1946,1.41,62.3,
ceiling,fpm,write,64,3,21857,13173,2.89,4.65,,0,3.93,0.1798,1.59,60.8,
ceiling,fpm,write,128,3,21746,15910,5.79,8.29,,0,3.91,0.1799,1.57,60.8,
ceiling,fpm,write,256,3,21498,14301,11.83,14.09,,0,3.9,0.1816,1.56,62.4,
ceiling,frankenphp,auth,16,3,32825,31888,0.47,1.17,,0,2.94,0.0896,0,122.1,
ceiling,frankenphp,auth,64,3,32953,32058,1.93,4.23,,0,2.93,0.0891,0,124.3,
ceiling,frankenphp,auth,128,3,31995,30716,4.01,8.49,,0,2.85,0.0891,0,127.8,
ceiling,frankenphp,auth,256,3,31770,29785,7.88,15.79,,0,2.87,0.0903,0,136.7,
ceiling,frankenphp,read,16,3,20578,19949,0.76,1.67,,0,2.58,0.1252,0.7,134.2,
ceiling,frankenphp,read,64,3,21085,19702,3.05,6.45,,0,2.61,0.1238,0.73,124.2,
ceiling,frankenphp,read,128,3,21102,19560,6.01,12.79,,0,2.62,0.124,0.75,127.9,
ceiling,frankenphp,read,256,3,22613,22479,11.07,22.43,,0,2.67,0.1179,0.8,135.7,
ceiling,frankenphp,write,16,3,19918,19022,0.77,1.63,,0,2.76,0.1386,0.99,129.5,
ceiling,frankenphp,write,64,3,20063,19917,2.84,7.66,,0,2.77,0.138,1.03,123.1,
ceiling,frankenphp,write,128,3,21006,20421,5.43,15.79,,0,2.82,0.1344,1.07,126.8,
ceiling,frankenphp,write,256,3,22874,22204,10.81,25.42,,0,2.85,0.1245,1.16,133.7,
