candidate,cores,rate,repetitions,passed,carried,achieved,client_p99_ms,server_p99_ms,p50_ms,cpu_us_per_req,db_cpu_us_per_req,app_cores
go,1,4250,3,3,true,4250,1.76,1.73,0.57,110.52,58.52,0.47
go,1,6750,3,3,true,6750,2.26,2.23,0.61,78.04,45.16,0.53
go,1,9250,3,1,false,8309,3324.99,82.27,0.9,76.22,54.26,0.64
go,1,12000,3,2,true,12000,3.64,3.62,1,64.93,37.94,0.78
go,1,14500,3,2,true,14500,5.45,5.43,1.23,63.27,38.66,0.89
go,1,17000,3,0,false,17000,225.33,18.06,51.73,58.75,39.16,1
go,1,19500,3,0,false,17235,3662.78,17.84,1756.08,58,40.12,1
go,2,7500,3,1,false,7500,53.83,44.31,6.98,121.97,90.6,0.91
go,2,12000,3,1,false,11999,243.91,41.82,6.69,93,70.09,1.12
go,2,16250,3,0,false,16249,2832.31,40.01,865.56,83.15,65.94,1.32
go,2,20750,3,0,false,15831,9618.03,44.42,4820.65,83.54,64.28,1.38
go,2,25250,3,0,false,25249,901.07,21.8,5.8,66.63,44.05,1.67
go,2,29750,3,0,false,21600,9136.86,44.15,97.75,74.06,54.13,1.6
go,2,34250,3,0,false,29538,5298.39,16.22,2753.8,65.24,42,1.92
go,4,14000,3,0,false,14000,1599.92,49.45,105.03,117.14,80.12,1.64
go,4,22250,3,1,false,22249,28.83,17.7,0.75,82.93,46.6,1.85
go,4,30750,3,1,false,30749,320.12,11.03,0.82,75.29,44.82,2.31
go,4,39000,3,1,false,38999,10.06,6.41,0.99,72.93,45.45,2.73
go,4,47250,3,0,false,47249,641.51,13.39,1.88,67.49,42,3.16
go,4,55750,3,0,false,55749,258.28,8.73,3.35,64.64,41.16,3.58
go,4,64000,3,0,false,58050,4887.38,8.24,2154.78,64.95,42.86,3.77
fpm,1,1500,3,2,true,1500,2.51,2.48,0.68,305.32,97.88,0.46
fpm,1,2500,3,3,true,2500,2.37,2.34,0.7,224.84,73.31,0.56
fpm,1,3500,3,1,false,3500,186.28,74.93,0.89,187.18,63.56,0.66
fpm,1,4250,3,0,false,3887,2712.73,187.19,1.23,195.77,74.04,0.76
fpm,1,5250,3,1,false,4291,5497.97,173.24,1.59,201.15,85.18,0.86
fpm,1,6250,3,0,false,3004,15675.18,187.52,8636.53,274.85,137.02,0.83
fpm,1,7000,3,0,false,5743,5390.3,82.01,1952.3,170.48,63.85,0.98
fpm,2,2750,3,1,false,2750,308.69,123.61,0.82,309.01,122.93,0.85
fpm,2,4500,3,2,true,4497,3.35,3.3,0.7,220.77,80.45,0.99
fpm,2,6250,3,0,false,4260,10196.39,130.36,5294.19,327.9,154.15,1.39
fpm,2,8000,3,1,false,4142,14679.94,126.67,8034.21,339.28,156.73,1.42
fpm,2,9500,3,1,false,3969,17588.42,121.71,7706.86,377.44,174.15,1.52
fpm,2,11250,3,0,false,4520,17997.34,137.4,11164.86,318.92,150.27,1.44
fpm,2,13000,3,0,false,3923,20851.12,121.67,10127.37,386.59,175.32,1.52
fpm,4,5000,3,1,false,5000,22.99,22.91,0.71,271.84,97.92,1.36
fpm,4,8250,3,2,true,8250,2.96,2.9,0.72,212.13,74.49,1.75
fpm,4,11250,3,1,false,11250,90.74,25.47,1.17,230.09,91.81,2.38
fpm,4,14250,3,0,false,12614,3392.68,70.17,850.99,231.79,96.13,2.92
fpm,4,17250,3,1,false,13141,7374.25,84.13,1.53,224.39,87.72,2.95
fpm,4,20500,3,0,false,7562,19031.45,80.97,9109.19,305.34,119.82,2.48
fpm,4,23500,3,0,false,7036,21169.42,82.85,10235.6,307.09,120.81,2.34
frankenphp,1,1500,3,1,false,1500,23.49,23.41,0.77,275.13,105.94,0.41
frankenphp,1,2500,3,1,false,2500,358.4,138.56,0.62,184.7,73.44,0.46
frankenphp,1,3250,3,2,true,3250,1.92,1.91,0.55,141.37,47.83,0.46
frankenphp,1,4250,3,3,true,4250,2.06,2.05,0.57,117.8,40.85,0.5
frankenphp,1,5250,3,1,false,5250,58.98,42.72,0.63,106.46,38.37,0.56
frankenphp,1,6000,3,1,false,2368,19946.73,495.8,3964.38,179.25,84.7,0.42
frankenphp,1,7000,3,1,false,6000,7116.73,95.32,11.96,104.1,41.98,0.62
frankenphp,2,3750,3,1,false,3418,3074.49,174.09,1843.26,258.03,116.27,0.84
frankenphp,2,5750,3,1,false,3560,11371.16,161.21,4036.27,244.95,110.47,0.87
frankenphp,2,8000,3,1,false,3440,17156.49,168.23,7821.45,247.11,114.02,0.92
frankenphp,2,10250,3,1,false,6306,13274.29,110.14,7331.28,181.84,83.07,1.15
frankenphp,2,12500,3,1,false,4818,18563.45,155.63,9625.14,196,89.34,0.94
frankenphp,2,14500,3,0,false,8741,11539.32,136.99,7734.26,134.18,58.14,1.17
frankenphp,2,16750,3,0,false,12775,7194.11,84.67,5566.88,108.56,44.64,1.39
frankenphp,4,6500,3,0,false,6478,4440.1,135.25,1254.62,179.49,67.17,1.14
frankenphp,4,10250,3,0,false,7020,9687.88,121.77,8228.58,191.18,79.06,1.26
frankenphp,4,14000,3,0,false,9774,13760.16,120.15,8399.67,148.69,59.33,1.45
frankenphp,4,18000,3,1,false,5502,20732.49,129.83,9929.69,198.4,77.9,1.09
frankenphp,4,21750,3,1,false,5363,22488.86,150.3,7595.43,202.47,79.1,1.13
frankenphp,4,25500,3,0,false,6005,22725.57,140.16,10225.53,205.51,84.29,1.23
frankenphp,4,29500,3,0,false,9272,20431.76,97.94,9547.53,170.42,71.87,1.58
